Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Status,SKU,Barcode,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position
Jordan 1 Retro High,Premium Jordan 1 Retro High sneaker with iconic Chicago colorway. Features premium leather upper and Air-Sole cushioning.,Jordan,Apparel & Accessories > Shoes > Sneakers,Sneakers,"sneakers, jordan, retro",TRUE,active,JRD-001-8,,Size,US 8,,,,,JRD-001-8,1200,shopify,5,deny,manual,14999,18999,TRUE,TRUE,https://images.unsplash.com/photo-1556906781-9a412961c28c?w=800,1
,,,,,,,,JRD-001-9,,Size,US 9,,,,,JRD-001-9,1200,shopify,3,deny,manual,14999,18999,TRUE,TRUE,https://images.unsplash.com/photo-1595950653106-6c9ebd614d3a?w=800,2
,,,,,,,,JRD-001-10,,Size,US 10,,,,,JRD-001-10,1200,shopify,4,deny,manual,14999,18999,TRUE,TRUE,,3
Nike Dunk Low,Classic Nike Dunk Low in Panda black and white colorway. Perfect for everyday wear with vintage basketball style.,Nike,Apparel & Accessories > Shoes > Sneakers,Sneakers,"sneakers, nike, dunk, panda",TRUE,active,NK-DNK-8,,Size,US 8,,,,,NK-DNK-8,900,shopify,8,deny,manual,8999,11999,TRUE,TRUE,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=800,1
,,,,,,,,NK-DNK-9,,Size,US 9,,,,,NK-DNK-9,900,shopify,6,deny,manual,8999,11999,TRUE,TRUE,,2
,,,,,,,,NK-DNK-10,,Size,US 10,,,,,NK-DNK-10,900,shopify,7,deny,manual,8999,11999,TRUE,TRUE,https://images.unsplash.com/photo-1600185365926-3a2ce3cdb9eb?w=800,3
New Balance 550,Vintage basketball style meets modern comfort. The 550 features a leather upper with perforated details and cushioned midsole.,New Balance,Apparel & Accessories > Shoes > Sneakers,Sneakers,"sneakers, new-balance, 550",TRUE,active,NB-550-8,,Size,US 8,,,,,NB-550-8,950,shopify,6,deny,manual,10999,13999,TRUE,TRUE,https://images.unsplash.com/photo-1551107696-a4b0c5a0d9a2?w=800,1
,,,,,,,,NB-550-9,,Size,US 9,,,,,NB-550-9,950,shopify,4,deny,manual,10999,13999,TRUE,TRUE,,2
,,,,,,,,NB-550-10,,Size,US 10,,,,,NB-550-10,950,shopify,5,deny,manual,10999,13999,TRUE,TRUE,,3
Chrome Hearts Hoodie,Premium oversized cotton hoodie featuring Chrome Hearts cross motif. Heavyweight French terry with ribbed cuffs and hem.,Chrome Hearts,Apparel & Accessories > Clothing > Hoodies,Clothing,"clothing, hoodie, streetwear, chrome-hearts",TRUE,active,CH-HD-S,,Size,S,,,,,CH-HD-S,800,shopify,4,deny,manual,24999,29999,TRUE,TRUE,https://images.unsplash.com/photo-1556821840-3a63f95609a7?w=800,1
,,,,,,,,CH-HD-M,,Size,M,,,,,CH-HD-M,800,shopify,3,deny,manual,24999,29999,TRUE,TRUE,,2
